names,posts,reactions
123_YEET,194,86
GLITCHAY,68,24
Megaversal,117,20
ChummyWaterBear,71,18
Bellasprout,88,32
Mxxrcell,134,34
qtJeff,66,9
X_N1K0_X,148,29
RekMe,82,9
DuelGodXX,80,4
iStrengthPot,65,28
Cathie11,79,14
SantiCheddar,235,138
64Gigabites,180,16
Baldboyhalo1414,173,62
Dice4x,81,18
MagnitoIsAGod,299,169
Marioxo,75,22
NameAidan,77,22
i<3skep,53,5
DreamLogic,512,135
TheBlaZe_FM,295,11
Fly_O,66,14
Familicide,62,14
Panda,82,31
Nowy,132,34
IIIITiz,72,41
FinishedTouch,133,72
